里程樁,路線名稱,Lon,Lat,海拔(m),方向,KM2,類別
000K+000,南港聯絡道,121.6233197,25.04680111,40.5,M,000K+000,國道
000K+100,南港聯絡道,121.6225496,25.04736788,42.05,M,000K+100,國道
000K+200,南港聯絡道,121.6218877,25.04803847,43.3,M,000K+200,國道
000K+300,南港聯絡道,121.6213472,25.04879394,44.55,M,000K+300,國道
000K+400,南港聯絡道,121.6209406,25.04961585,45.77,M,000K+400,國道
000K+500,南港聯絡道,121.6206767,25.0504849,47.0,M,000K+500,國道
000K+600,南港聯絡道,121.6205656,25.0513809,48.25,M,000K+600,國道
000K+700,南港聯絡道,121.6206041,25.05228177,49.52,M,000K+700,國道
000K+800,南港聯絡道,121.6207947,25.05316649,50.75,M,000K+800,國道
000K+900,南港聯絡道,121.6211246,25.05401689,51.42,M,000K+900,國道
001K+000,南港聯絡道,121.6215331,25.05483895,49.71,M,001K+000,國道
001K+100,南港聯絡道,121.6219833,25.05564228,45.4,M,001K+100,國道
001K+200,南港聯絡道,121.6223458,25.0564793,43.65,M,001K+200,國道
001K+300,南港聯絡道,121.6223736,25.05737584,44.24,M,001K+300,國道
001K+400,南港聯絡道,121.622043,25.05822154,44.82,M,001K+400,國道
001K+408,南港聯絡道,121.6220063,25.05828323,44.88,M,001K+408,國道
000K+000,台26,121.7419578,25.15133196,37.26,M,000K+000,國道
000K+100,台26,121.7410089,25.15159348,39.97,M,000K+100,國道
000K+200,台26,121.7400599,25.151855,42.69,M,000K+200,國道
000K+300,台26,121.739111,25.15211651,45.41,M,000K+300,國道
000K+400,台26,121.7381621,25.15237801,48.12,M,000K+400,國道
000K+500,台26,121.7372131,25.15263951,50.84,M,000K+500,國道
000K+600,台26,121.7362506,25.15285333,54.38,M,000K+600,國道
000K+700,台26,121.7352835,25.15304969,58.35,M,000K+700,國道
000K+800,台26,121.7343979,25.1534456,62.27,M,000K+800,國道
000K+900,台26,121.733491,25.15377858,66.35,M,000K+900,國道
001K+000,台26,121.7325843,25.15346708,70.31,M,001K+000,國道
001K+100,台26,121.7318202,25.15289264,74.3,M,001K+100,國道
001K+200,台26,121.7310344,25.15234485,78.32,M,001K+200,國道
001K+300,台26,121.7301073,25.1520452,82.09,M,001K+300,國道
001K+400,台26,121.7291242,25.15209677,83.46,M,001K+400,國道
001K+500,台26,121.7281612,25.15230803,82.23,M,001K+500,國道
001K+600,台26,121.7271952,25.15216323,80.26,M,001K+600,國道
001K+700,台26,121.726443,25.15158766,78.14,M,001K+700,國道
001K+800,台26,121.725816,25.15088984,75.68,M,001K+800,國道
001K+900,台26,121.7249745,25.15041923,73.38,M,001K+900,國道
002K+000,台26,121.7241653,25.14990707,72.69,M,002K+000,國道
002K+100,台26,121.7236463,25.14914136,74.31,M,002K+100,國道
002K+200,台26,121.7231948,25.14833791,76.71,M,002K+200,國道
002K+300,台26,121.7227613,25.14752615,78.7,M,002K+300,國道
002K+400,台26,121.7223185,25.14671852,80.56,M,002K+400,國道
002K+500,台26,121.7218559,25.14592036,81.34,M,002K+500,國道
002K+600,台26,121.7212106,25.14524188,80.75,M,002K+600,國道
002K+700,台26,121.7204319,25.14468326,79.34,M,002K+700,國道
002K+800,台26,121.7197511,25.14404008,78.7,M,002K+800,國道
002K+900,台26,121.719283,25.14324676,79.51,M,002K+900,國道
003K+000,台26,121.7187717,25.14247461,79.88,M,003K+000,國道
003K+100,台26,121.7181171,25.14179927,79.61,M,003K+100,國道
003K+200,台26,121.7173329,25.14124882,78.68,M,003K+200,國道
003K+300,台26,121.7165022,25.14075573,77.7,M,003K+300,國道
003K+400,台26,121.7156547,25.14028717,78.76,M,003K+400,國道
003K+500,台26,121.7148227,25.13979634,80.99,M,003K+500,國道
003K+517,台26,121.7146816,25.13971242,81.37,M,003K+517,國道
000K+000,國3甲,121.5499967,25.01628722,33.14,M,000K+000,國道
000K+100,國3甲,121.5507964,25.01575499,36.48,M,000K+100,國道
000K+200,國3甲,121.551596,25.01522277,39.82,M,000K+200,國道
000K+300,國3甲,121.5524107,25.01471113,44.23,M,000K+300,國道
000K+400,國3甲,121.5533011,25.01432034,48.35,M,000K+400,國道
000K+500,國3甲,121.5542535,25.01407855,51.72,M,000K+500,國道
000K+600,國3甲,121.5552386,25.01399824,54.3,M,000K+600,國道
000K+700,國3甲,121.5562283,25.01403251,56.12,M,000K+700,國道
000K+800,國3甲,121.5572172,25.01408494,57.9,M,000K+800,國道
000K+900,國3甲,121.5582069,25.01411239,59.72,M,000K+900,國道
001K+000,國3甲,121.559189,25.0140081,61.54,M,001K+000,國道
001K+100,國3甲,121.5601244,25.01371717,63.32,M,001K+100,國道
001K+200,國3甲,121.5609698,25.01325052,65.11,M,001K+200,國道
001K+300,國3甲,121.5616854,25.01262891,66.9,M,001K+300,國道
001K+400,國3甲,121.562299,25.0119207,68.67,M,001K+400,國道
001K+500,國3甲,121.5628972,25.01120138,70.36,M,001K+500,國道
001K+600,國3甲,121.5635685,25.01053897,72.07,M,001K+600,國道
001K+700,國3甲,121.5643444,25.00997964,73.88,M,001K+700,國道
001K+800,國3甲,121.5652134,25.00954863,75.7,M,001K+800,國道
001K+900,國3甲,121.5661434,25.0092394,77.28,M,001K+900,國道
002K+000,國3甲,121.5670965,25.00899345,78.02,M,002K+000,國道
002K+100,國3甲,121.5680516,25.00875378,78.58,M,002K+100,國道
002K+200,國3甲,121.5690068,25.0085141,79.14,M,002K+200,國道
002K+300,國3甲,121.5699619,25.00827442,79.7,M,002K+300,國道
002K+400,國3甲,121.5709171,25.00803474,80.26,M,002K+400,國道
002K+500,國3甲,121.5718722,25.00779504,80.82,M,002K+500,國道
002K+600,國3甲,121.5728273,25.00755534,81.38,M,002K+600,國道
002K+700,國3甲,121.5737825,25.00731564,81.94,M,002K+700,國道
002K+800,國3甲,121.5747334,25.00706265,81.81,M,002K+800,國道
002K+900,國3甲,121.5756695,25.00676826,81.25,M,002K+900,國道
003K+000,國3甲,121.5765533,25.0063626,80.5,M,003K+000,國道
003K+100,國3甲,121.5773718,25.00585504,79.52,M,003K+100,國道
003K+200,國3甲,121.5781568,25.0053043,78.41,M,003K+200,國道
003K+300,國3甲,121.5789933,25.00482332,77.24,M,003K+300,國道
003K+400,國3甲,121.5799175,25.00450261,76.06,M,003K+400,國道
003K+500,國3甲,121.58089,25.00433617,74.93,M,003K+500,國道
003K+600,國3甲,121.5818782,25.00427713,73.76,M,003K+600,國道
003K+700,國3甲,121.5828681,25.00424405,72.63,M,003K+700,國道
003K+800,國3甲,121.5838571,25.00419255,71.48,M,003K+800,國道
003K+900,國3甲,121.5848412,25.00409089,70.69,M,003K+900,國道
004K+000,國3甲,121.585815,25.00392641,70.46,M,004K+000,國道
004K+100,國3甲,121.586778,25.0037152,70.7,M,004K+100,國道
004K+200,國3甲,121.5877337,25.00347778,71.43,M,004K+200,國道
004K+300,國3甲,121.588685,25.00322595,72.38,M,004K+300,國道
004K+400,國3甲,121.5896363,25.0029741,73.32,M,004K+400,國道
004K+500,國3甲,121.5905903,25.00273089,73.63,M,004K+500,國道
004K+600,國3甲,121.5915494,25.00250501,72.91,M,004K+600,國道
004K+700,國3甲,121.5925165,25.00230999,71.24,M,004K+700,國道
004K+800,國3甲,121.5934896,25.00214249,69.24,M,004K+800,國道
004K+900,國3甲,121.5944693,25.00200997,67.21,M,004K+900,國道
005K+000,國3甲,121.5954528,25.00190411,65.3,M,005K+000,國道
005K+100,國3甲,121.5964406,25.00183905,63.3,M,005K+100,國道
005K+200,國3甲,121.5974306,25.00182235,61.24,M,005K+200,國道
005K+300,國3甲,121.5984202,25.00185533,59.26,M,005K+300,國道
005K+400,國3甲,121.5994017,25.00197229,57.49,M,005K+400,國道
005K+447,國3甲,121.5998635,25.0020176,56.92,M,005K+447,國道
000K+000,國10,120.3118985,22.68015865,41.49,M,000K+000,國道
000K+100,國10,120.3127592,22.67973756,41.3,M,000K+100,國道
000K+200,國10,120.3136539,22.67938404,41.41,M,000K+200,國道
000K+300,國10,120.3146006,22.67918304,41.69,M,000K+300,國道
000K+400,國10,120.3155717,22.67914788,41.82,M,000K+400,國道
000K+500,國10,120.3165442,22.67917963,42.01,M,000K+500,國道
000K+600,國10,120.3175162,22.67915053,42.22,M,000K+600,國道
000K+700,國10,120.3184776,22.67901351,42.41,M,000K+700,國道
000K+800,國10,120.3194111,22.67876157,42.13,M,000K+800,國道
000K+900,國10,120.3202972,22.67839032,41.71,M,000K+900,國道
001K+000,國10,120.3211335,22.67792918,41.38,M,001K+000,國道
001K+100,國10,120.3219542,22.67744388,41.31,M,001K+100,國道
001K+200,國10,120.3227748,22.67695858,41.23,M,001K+200,國道
001K+300,國10,120.3236047,22.67648716,41.38,M,001K+300,國道
001K+400,國10,120.3244622,22.6760607,41.62,M,001K+400,國道
001K+500,國10,120.3253536,22.67569985,41.86,M,001K+500,國道
001K+600,國10,120.3262822,22.67543288,42.35,M,001K+600,國道
001K+700,國10,120.3272385,22.67527126,43.15,M,001K+700,國道
001K+800,國10,120.328208,22.67520033,43.98,M,001K+800,國道
001K+900,國10,120.3291795,22.67523796,44.57,M,001K+900,國道
002K+000,國10,120.3301399,22.67537815,44.84,M,002K+000,國道
002K+100,國10,120.3310772,22.67561929,45.04,M,002K+100,國道
002K+200,國10,120.3319784,22.67595888,45.2,M,002K+200,國道
002K+300,國10,120.3328515,22.67635732,45.32,M,002K+300,國道
002K+400,國10,120.3337192,22.67676625,45.49,M,002K+400,國道
002K+500,國10,120.3345847,22.67717895,45.67,M,002K+500,國道
002K+600,國10,120.335449,22.67759401,45.85,M,002K+600,國道
002K+700,國10,120.3363133,22.67800906,46.03,M,002K+700,國道
002K+800,國10,120.3371775,22.67842411,46.21,M,002K+800,國道
002K+900,國10,120.3380418,22.67883915,46.39,M,002K+900,國道
003K+000,國10,120.3389061,22.67925419,46.58,M,003K+000,國道
003K+100,國10,120.3397704,22.67966923,46.76,M,003K+100,國道
003K+200,國10,120.3406385,22.68007715,46.9,M,003K+200,國道
003K+300,國10,120.3415124,22.68047448,47.01,M,003K+300,國道
003K+400,國10,120.3423863,22.68087182,47.11,M,003K+400,國道
003K+500,國10,120.3432602,22.68126915,47.21,M,003K+500,國道
003K+600,國10,120.3441342,22.68166647,47.31,M,003K+600,國道
003K+700,國10,120.3450081,22.68206379,47.41,M,003K+700,國道
003K+800,國10,120.345882,22.6824611,47.51,M,003K+800,國道
003K+900,國10,120.3467559,22.68285841,47.61,M,003K+900,國道
004K+000,國10,120.3476299,22.68325572,47.72,M,004K+000,國道
004K+100,國10,120.3485038,22.68365302,47.82,M,004K+100,國道
004K+200,國10,120.3493778,22.68405032,47.92,M,004K+200,國道
004K+300,國10,120.3502517,22.68444761,48.02,M,004K+300,國道
004K+400,國10,120.3511257,22.68484489,48.12,M,004K+400,國道
004K+500,國10,120.3519996,22.68524218,48.22,M,004K+500,國道
004K+600,國10,120.3528711,22.68564411,48.29,M,004K+600,國道
004K+700,國10,120.3537122,22.68609726,48.6,M,004K+700,國道
004K+800,國10,120.3544858,22.68664376,49.67,M,004K+800,國道
004K+900,國10,120.3551914,22.68726465,51.57,M,004K+900,國道
005K+000,國10,120.3558265,22.68794809,52.82,M,005K+000,國道
005K+100,國10,120.3563768,22.68869223,53.41,M,005K+100,國道
005K+200,國10,120.3568411,22.6894851,54.59,M,005K+200,國道
005K+300,國10,120.3572061,22.69032149,56.67,M,005K+300,國道
005K+400,國10,120.3574775,22.69118798,58.4,M,005K+400,國道
005K+500,國10,120.3576721,22.69207268,58.68,M,005K+500,國道
005K+600,國10,120.3578496,22.6929606,58.79,M,005K+600,國道
005K+700,國10,120.3580259,22.69384872,58.99,M,005K+700,國道
005K+800,國10,120.3582021,22.69473685,59.19,M,005K+800,國道
005K+900,國10,120.3583784,22.69562497,59.39,M,005K+900,國道
006K+000,國10,120.3585546,22.6965131,59.59,M,006K+000,國道
006K+100,國10,120.3587309,22.69740122,59.79,M,006K+100,國道
006K+200,國10,120.3589072,22.69828935,59.99,M,006K+200,國道
006K+300,國10,120.3590835,22.69917747,60.19,M,006K+300,國道
006K+400,國10,120.3592597,22.70006559,60.39,M,006K+400,國道
006K+500,國10,120.359436,22.70095372,60.59,M,006K+500,國道
006K+600,國10,120.3596123,22.70184184,60.79,M,006K+600,國道
006K+700,國10,120.3597878,22.70273008,61.02,M,006K+700,國道
006K+800,國10,120.3599528,22.70362004,61.68,M,006K+800,國道
006K+900,國10,120.3600971,22.70451305,62.48,M,006K+900,國道
007K+000,國10,120.3602144,22.70540946,63.14,M,007K+000,國道
007K+100,國10,120.3603001,22.70630897,63.52,M,007K+100,國道
007K+200,國10,120.3603575,22.70721038,63.84,M,007K+200,國道
007K+300,國10,120.3603817,22.70811306,63.96,M,007K+300,國道
007K+400,國10,120.3603759,22.70901599,63.85,M,007K+400,國道
007K+500,國10,120.3603448,22.70991851,63.56,M,007K+500,國道
007K+600,國10,120.3602804,22.71081952,62.96,M,007K+600,國道
007K+700,國10,120.3601952,22.71171909,62.28,M,007K+700,國道
007K+800,國10,120.36011,22.71261866,61.6,M,007K+800,國道
007K+900,國10,120.3600248,22.71351824,60.92,M,007K+900,國道
008K+000,國10,120.3599397,22.71441781,60.24,M,008K+000,國道
008K+100,國10,120.3598551,22.71531743,59.59,M,008K+100,國道
008K+200,國10,120.3597794,22.71621775,59.35,M,008K+200,國道
008K+300,國10,120.3597182,22.71711881,59.09,M,008K+300,國道
008K+400,國10,120.3596984,22.71802163,58.8,M,008K+400,國道
008K+500,國10,120.3596874,22.71892463,58.52,M,008K+500,國道
008K+600,國10,120.3596764,22.71982762,58.24,M,008K+600,國道
008K+700,國10,120.3596718,22.72073064,57.97,M,008K+700,國道
008K+800,國10,120.3597141,22.72163267,57.73,M,008K+800,國道
008K+900,國10,120.3597981,22.72253231,57.78,M,008K+900,國道
009K+000,國10,120.3599014,22.72343024,58.06,M,009K+000,國道
009K+100,國10,120.3600081,22.72432786,58.37,M,009K+100,國道
009K+200,國10,120.3601147,22.72522548,58.68,M,009K+200,國道
009K+300,國10,120.3602213,22.7261231,59.0,M,009K+300,國道
009K+400,國10,120.3603279,22.72702072,59.31,M,009K+400,國道
009K+500,國10,120.3604345,22.72791834,59.63,M,009K+500,國道
009K+600,國10,120.3605411,22.72881596,59.94,M,009K+600,國道
009K+700,國10,120.3606478,22.72971358,60.26,M,009K+700,國道
009K+800,國10,120.3607243,22.73061361,60.57,M,009K+800,國道
009K+900,國10,120.3607481,22.73151638,60.87,M,009K+900,國道
010K+000,國10,120.3607759,22.73241897,61.16,M,010K+000,國道
010K+100,國10,120.3608857,22.7333159,61.39,M,010K+100,國道
010K+200,國10,120.3610186,22.73421049,61.58,M,010K+200,國道
010K+300,國10,120.3611516,22.73510508,61.78,M,010K+300,國道
010K+400,國10,120.3612786,22.7360004,61.87,M,010K+400,國道
010K+500,國10,120.3613995,22.73689646,61.85,M,010K+500,國道
010K+600,國10,120.3615205,22.73779253,61.83,M,010K+600,國道
010K+700,國10,120.3616414,22.73868859,61.81,M,010K+700,國道
010K+800,國10,120.3617623,22.73958465,61.79,M,010K+800,國道
010K+900,國10,120.3618832,22.74048072,61.77,M,010K+900,國道
011K+000,國10,120.3620041,22.74137678,61.75,M,011K+000,國道
011K+100,國10,120.3621251,22.74227284,61.73,M,011K+100,國道
011K+200,國10,120.362246,22.7431689,61.71,M,011K+200,國道
011K+300,國10,120.3623703,22.74406456,61.77,M,011K+300,國道
011K+400,國10,120.3625141,22.74495763,62.09,M,011K+400,國道
011K+500,國10,120.3626861,22.74584633,62.43,M,011K+500,國道
011K+600,國10,120.3628979,22.74672753,62.68,M,011K+600,國道
011K+700,國10,120.3631674,22.74759512,62.7,M,011K+700,國道
011K+800,國10,120.363503,22.74844246,62.54,M,011K+800,國道
011K+900,國10,120.3639004,22.74926656,62.32,M,011K+900,國道
012K+000,國10,120.3643622,22.75006127,62.14,M,012K+000,國道
012K+100,國10,120.3648806,22.75082532,61.97,M,012K+100,國道
012K+200,國10,120.3654579,22.75155225,61.79,M,012K+200,國道
012K+300,國10,120.3660817,22.75224552,61.57,M,012K+300,國道
012K+400,國10,120.366736,22.7529141,61.36,M,012K+400,國道
012K+500,國10,120.3674246,22.75355227,61.1,M,012K+500,國道
012K+600,國10,120.3681402,22.75416435,60.85,M,012K+600,國道
012K+700,國10,120.3688844,22.75474646,60.78,M,012K+700,國道
012K+800,國10,120.3696585,22.75529398,61.1,M,012K+800,國道
012K+900,國10,120.3704565,22.75581129,61.73,M,012K+900,國道
013K+000,國10,120.3712792,22.75629391,62.68,M,013K+000,國道
013K+100,國10,120.3721238,22.75674285,64.02,M,013K+100,國道
013K+200,國10,120.3729885,22.75715767,65.53,M,013K+200,國道
013K+300,國10,120.3738722,22.75753651,66.85,M,013K+300,國道
013K+400,國10,120.3747735,22.75787796,67.94,M,013K+400,國道
013K+500,國10,120.3756901,22.75818246,68.76,M,013K+500,國道
013K+600,國10,120.3766207,22.7584477,69.3,M,013K+600,國道
013K+700,國10,120.3775611,22.75868198,69.57,M,013K+700,國道
013K+800,國10,120.3785091,22.75888769,69.6,M,013K+800,國道
013K+900,國10,120.3794615,22.75907554,69.38,M,013K+900,國道
014K+000,國10,120.380418,22.75924418,68.72,M,014K+000,國道
014K+100,國10,120.3813771,22.7594001,68.1,M,014K+100,國道
014K+200,國10,120.3823366,22.75955394,67.55,M,014K+200,國道
014K+300,國10,120.3832961,22.75970778,67.01,M,014K+300,國道
014K+400,國10,120.3842556,22.75986161,66.47,M,014K+400,國道
014K+500,國10,120.385212,22.76003091,66.33,M,014K+500,國道
014K+600,國10,120.3861632,22.76022378,66.6,M,014K+600,國道
014K+700,國10,120.3871051,22.76045266,67.07,M,014K+700,國道
014K+800,國10,120.3880351,22.76071981,67.91,M,014K+800,國道
014K+900,國10,120.3889491,22.76103082,69.04,M,014K+900,國道
015K+000,國10,120.389845,22.76138411,70.39,M,015K+000,國道
015K+100,國10,120.3907205,22.76177902,71.76,M,015K+100,國道
015K+200,國10,120.3915732,22.76221463,73.12,M,015K+200,國道
015K+300,國10,120.3924025,22.76268738,74.56,M,015K+300,國道
015K+400,國10,120.3932056,22.76319774,75.93,M,015K+400,國道
015K+500,國10,120.393977,22.76374842,77.33,M,015K+500,國道
015K+600,國10,120.3947287,22.76432213,78.76,M,015K+600,國道
015K+700,國10,120.3954658,22.76491212,80.16,M,015K+700,國道
015K+800,國10,120.3962021,22.76550294,81.56,M,015K+800,國道
015K+900,國10,120.3969432,22.76608861,82.9,M,015K+900,國道
016K+000,國10,120.3977004,22.76665612,84.1,M,016K+000,國道
016K+100,國10,120.3984864,22.76718909,85.27,M,016K+100,國道
016K+200,國10,120.3993003,22.76768463,86.31,M,016K+200,國道
016K+300,國10,120.4001377,22.76814502,87.26,M,016K+300,國道
016K+400,國10,120.4009948,22.7685734,88.2,M,016K+400,國道
016K+500,國10,120.4018773,22.7689548,89.27,M,016K+500,國道
016K+600,國10,120.4027704,22.76931442,90.51,M,016K+600,國道
016K+700,國10,120.4036728,22.76965348,92.39,M,016K+700,國道
016K+800,國10,120.4045757,22.7699914,94.32,M,016K+800,國道
016K+900,國10,120.4054785,22.77032931,96.24,M,016K+900,國道
017K+000,國10,120.4063814,22.77066722,98.17,M,017K+000,國道
017K+100,國10,120.4072843,22.77100512,100.09,M,017K+100,國道
017K+200,國10,120.4081872,22.77134302,102.02,M,017K+200,國道
017K+300,國10,120.4090905,22.77167958,104.6,M,017K+300,國道
017K+400,國10,120.4099939,22.77201583,107.34,M,017K+400,國道
017K+500,國10,120.4108973,22.77235207,110.08,M,017K+500,國道
017K+600,國10,120.4118007,22.77268831,112.82,M,017K+600,國道
017K+700,國10,120.4127041,22.77302454,115.56,M,017K+700,國道
017K+800,國10,120.4136064,22.77336323,118.31,M,017K+800,國道
017K+900,國10,120.4145051,22.77371026,121.08,M,017K+900,國道
018K+000,國10,120.4153894,22.77408756,123.82,M,018K+000,國道
018K+100,國10,120.4162624,22.77448683,126.63,M,018K+100,國道
018K+200,國10,120.4171112,22.77492858,129.34,M,018K+200,國道
018K+300,國10,120.4179359,22.77540786,132.13,M,018K+300,國道
018K+400,國10,120.4187335,22.77592525,134.8,M,018K+400,國道
018K+500,國10,120.4195039,22.77647693,136.97,M,018K+500,國道
018K+600,國10,120.4202448,22.77706243,138.77,M,018K+600,國道
018K+700,國10,120.4209574,22.77767756,140.21,M,018K+700,國道
018K+800,國10,120.4216379,22.77832328,141.24,M,018K+800,國道
018K+900,國10,120.4222773,22.77900423,141.86,M,018K+900,國道
019K+000,國10,120.4228837,22.77971073,142.29,M,019K+000,國道
019K+100,國10,120.4234609,22.78043788,142.76,M,019K+100,國道
019K+200,國10,120.4240031,22.78118788,143.25,M,019K+200,國道
019K+300,國10,120.4245125,22.78195742,143.73,M,019K+300,國道
019K+400,國10,120.4249966,22.7827409,144.23,M,019K+400,國道
019K+500,國10,120.4254682,22.78353102,144.74,M,019K+500,國道
019K+600,國10,120.4259259,22.78432809,145.2,M,019K+600,國道
019K+700,國10,120.4263837,22.78512516,145.66,M,019K+700,國道
019K+800,國10,120.4268415,22.78592223,146.13,M,019K+800,國道
019K+900,國10,120.4273052,22.78671632,146.64,M,019K+900,國道
020K+000,國10,120.4277861,22.78750151,147.21,M,020K+000,國道
020K+100,國10,120.4282945,22.78827163,147.59,M,020K+100,國道
020K+200,國10,120.4288265,22.78902794,147.71,M,020K+200,國道
020K+300,國10,120.4293983,22.78975875,147.38,M,020K+300,國道
020K+400,國10,120.4300059,22.7904642,146.67,M,020K+400,國道
020K+500,國10,120.4306434,22.79114674,145.66,M,020K+500,國道
020K+600,國10,120.4313186,22.79179721,144.15,M,020K+600,國道
020K+700,國10,120.4320281,22.79241545,142.21,M,020K+700,國道
020K+800,國10,120.4327678,22.79300237,139.85,M,020K+800,國道
020K+900,國10,120.4335359,22.79355683,137.19,M,020K+900,國道
021K+000,國10,120.4343304,22.79407853,134.52,M,021K+000,國道
021K+100,國10,120.4351525,22.79456196,131.79,M,021K+100,國道
021K+200,國10,120.4359978,22.79500982,129.18,M,021K+200,國道
021K+300,國10,120.4368646,22.79542086,126.51,M,021K+300,國道
021K+400,國10,120.4377542,22.79578725,123.73,M,021K+400,國道
021K+500,國10,120.4386649,22.79610608,120.92,M,021K+500,國道
021K+600,國10,120.4395934,22.79637694,118.2,M,021K+600,國道
021K+700,國10,120.4405403,22.7965863,115.49,M,021K+700,國道
021K+800,國10,120.4414983,22.79674623,112.78,M,021K+800,國道
021K+900,國10,120.4424655,22.79684883,110.08,M,021K+900,國道
022K+000,國10,120.4434377,22.79689382,107.37,M,022K+000,國道
022K+100,國10,120.4444112,22.79688406,104.68,M,022K+100,國道
022K+200,國10,120.4453821,22.79681687,101.98,M,022K+200,國道
022K+300,國10,120.4463499,22.79671856,99.28,M,022K+300,國道
022K+400,國10,120.4473175,22.79661906,96.55,M,022K+400,國道
022K+500,國10,120.4482887,22.79655826,93.9,M,022K+500,國道
022K+600,國10,120.449262,22.7965744,91.31,M,022K+600,國道
022K+700,國10,120.4502303,22.79666583,88.89,M,022K+700,國道
022K+800,國10,120.4511876,22.79682953,86.59,M,022K+800,國道
022K+900,國10,120.4521323,22.79704851,84.45,M,022K+900,國道
023K+000,國10,120.4530776,22.79726522,82.34,M,023K+000,國道
023K+100,國10,120.4540336,22.79743529,80.46,M,023K+100,國道
023K+200,國10,120.4550018,22.79752947,78.7,M,023K+200,國道
023K+300,國10,120.455975,22.79755003,77.04,M,023K+300,國道
023K+400,國10,120.4569475,22.79750375,75.53,M,023K+400,國道
023K+500,國10,120.4579177,22.79742545,74.19,M,023K+500,國道
023K+600,國10,120.458887,22.79733832,72.97,M,023K+600,國道
023K+700,國10,120.4598568,22.7972551,71.84,M,023K+700,國道
023K+800,國10,120.4608277,22.7971849,70.86,M,023K+800,國道
023K+900,國10,120.4618006,22.79714134,69.98,M,023K+900,國道
024K+000,國10,120.4627745,22.7971346,69.27,M,024K+000,國道
024K+100,國10,120.4637477,22.79716668,68.71,M,024K+100,國道
024K+200,國10,120.4647192,22.79723087,68.25,M,024K+200,國道
024K+300,國10,120.4656868,22.79733301,67.91,M,024K+300,國道
024K+400,國10,120.4666496,22.79746909,67.59,M,024K+400,國道
024K+500,國10,120.4676048,22.79764533,67.26,M,024K+500,國道
024K+600,國10,120.4685522,22.79785437,66.84,M,024K+600,國道
024K+700,國10,120.4694911,22.79809415,66.47,M,024K+700,國道
024K+800,國10,120.4704181,22.79837112,66.16,M,024K+800,國道
024K+900,國10,120.4713315,22.7986848,65.88,M,024K+900,國道
025K+000,國10,120.4722314,22.79903002,65.54,M,025K+000,國道
025K+100,國10,120.4731152,22.79940948,65.28,M,025K+100,國道
025K+200,國10,120.4739825,22.79982043,65.08,M,025K+200,國道
025K+300,國10,120.4748304,22.80026461,64.97,M,025K+300,國道
025K+400,國10,120.4756594,22.80073841,65.05,M,025K+400,國道
025K+500,國10,120.4764683,22.80124138,65.05,M,025K+500,國道
025K+600,國10,120.4772535,22.80177555,65.05,M,025K+600,國道
025K+700,國10,120.478012,22.8023419,65.16,M,025K+700,國道
025K+800,國10,120.4787494,22.80293172,65.35,M,025K+800,國道
025K+900,國10,120.4794607,22.80354845,65.59,M,025K+900,國道
026K+000,國10,120.4801444,22.80419142,65.85,M,026K+000,國道
026K+100,國10,120.4808014,22.80485799,66.07,M,026K+100,國道
026K+200,國10,120.4814287,22.80554873,66.33,M,026K+200,國道
026K+300,國10,120.4820229,22.80626416,66.56,M,026K+300,國道
026K+400,國10,120.482589,22.80699896,66.82,M,026K+400,國道
026K+500,國10,120.4831223,22.80775459,67.04,M,026K+500,國道
026K+600,國10,120.4836189,22.80853141,67.24,M,026K+600,國道
026K+700,國10,120.4840848,22.80932436,67.4,M,026K+700,國道
026K+800,國10,120.4845155,22.81013421,67.48,M,026K+800,國道
026K+900,國10,120.4849126,22.81095876,67.51,M,026K+900,國道
027K+000,國10,120.4852714,22.81179827,67.6,M,027K+000,國道
027K+100,國10,120.4855927,22.81265068,67.51,M,027K+100,國道
027K+200,國10,120.485879,22.81351375,67.36,M,027K+200,國道
027K+300,國10,120.4861277,22.81438676,67.24,M,027K+300,國道
027K+400,國10,120.4863437,22.81526732,67.13,M,027K+400,國道
027K+500,國10,120.4865274,22.81615412,67.1,M,027K+500,國道
027K+600,國10,120.4866846,22.81704534,67.15,M,027K+600,國道
027K+700,國10,120.4868264,22.81793873,67.25,M,027K+700,國道
027K+800,國10,120.4869565,22.8188337,67.41,M,027K+800,國道
027K+900,國10,120.4870806,22.81972939,67.59,M,027K+900,國道
028K+000,國10,120.4872048,22.82062508,67.78,M,028K+000,國道
028K+100,國10,120.487329,22.82152078,67.96,M,028K+100,國道
028K+200,國10,120.4874709,22.82241418,68.07,M,028K+200,國道
028K+300,國10,120.487643,22.82330296,68.12,M,028K+300,國道
028K+400,國10,120.4878482,22.82418563,68.16,M,028K+400,國道
028K+500,國10,120.4880924,22.8250597,68.16,M,028K+500,國道
028K+600,國10,120.4883726,22.82592443,68.15,M,028K+600,國道
028K+700,國10,120.4886867,22.82677911,68.17,M,028K+700,國道
028K+800,國10,120.4890422,22.82761982,68.25,M,028K+800,國道
028K+900,國10,120.4894326,22.82844715,68.38,M,028K+900,國道
029K+000,國10,120.4898569,22.82925992,68.34,M,029K+000,國道
029K+100,國10,120.4903192,22.83005466,68.42,M,029K+100,國道
029K+200,國10,120.4908116,22.83083378,68.51,M,029K+200,國道
029K+300,國10,120.4913324,22.83159688,68.59,M,029K+300,國道
029K+400,國10,120.491864,22.83235366,68.69,M,029K+400,國道
029K+500,國10,120.4923957,22.83311043,68.79,M,029K+500,國道
029K+600,國10,120.4929192,22.83387202,68.85,M,029K+600,國道
