id,X,Y
0,117.9828,27.0233
1,118.0578,27.0233
2,118.1328,27.0233
3,118.2078,27.0233
4,118.2828,27.0233
5,118.3578,27.0233
6,118.4328,27.0233
7,118.5078,27.0233
8,118.5828,27.0233
9,118.6578,27.0233
10,118.7328,27.0233
11,118.8078,27.0233
12,118.8828,27.0233
13,118.9578,27.0233
14,119.0328,27.0233
15,119.1078,27.0233
16,119.1828,27.0233
17,119.2578,27.0233
18,119.3328,27.0233
19,119.4078,27.0233
20,119.4828,27.0233
21,119.5578,27.0233
22,119.6328,27.0233
23,119.7078,27.0233
24,119.7828,27.0233
25,119.8578,27.0233
26,119.9328,27.0233
27,120.0078,27.0233
28,120.0828,27.0233
29,120.1578,27.0233
30,120.2328,27.0233
31,120.3078,27.0233
32,120.3828,27.0233
33,120.4578,27.0233
34,120.5328,27.0233
35,120.6078,27.0233
36,120.6828,27.0233
37,120.7578,27.0233
38,120.8328,27.0233
39,120.9078,27.0233
40,120.9828,27.0233
41,121.0578,27.0233
42,121.1328,27.0233
43,121.2078,27.0233
44,121.2828,27.0233
45,121.3578,27.0233
46,121.4328,27.0233
47,121.5078,27.0233
48,121.5828,27.0233
49,121.6578,27.0233
50,121.7328,27.0233
51,121.8078,27.0233
52,121.8828,27.0233
53,121.9578,27.0233
54,122.0328,27.0233
55,122.1078,27.0233
56,122.1828,27.0233
57,122.2578,27.0233
58,122.3328,27.0233
59,122.4078,27.0233
60,122.4828,27.0233
61,122.5578,27.0233
62,122.6328,27.0233
63,122.7078,27.0233
64,122.7828,27.0233
65,122.8578,27.0233
66,122.9328,27.0233
67,123.0078,27.0233
68,123.0828,27.0233
69,123.1578,27.0233
70,123.2328,27.0233
71,123.3078,27.0233
72,123.3828,27.0233
73,123.4578,27.0233
74,123.5328,27.0233
75,117.9828,26.9483
76,118.0578,26.9483
77,118.1328,26.9483
78,118.2078,26.9483
79,118.2828,26.9483
80,118.3578,26.9483
81,118.4328,26.9483
82,118.5078,26.9483
83,118.5828,26.9483
84,118.6578,26.9483
85,118.7328,26.9483
86,118.8078,26.9483
87,118.8828,26.9483
88,118.9578,26.9483
89,119.0328,26.9483
90,119.1078,26.9483
91,119.1828,26.9483
92,119.2578,26.9483
93,119.3328,26.9483
94,119.4078,26.9483
95,119.4828,26.9483
96,119.5578,26.9483
97,119.6328,26.9483
98,119.7078,26.9483
99,119.7828,26.9483
100,119.8578,26.9483
101,119.9328,26.9483
102,120.0078,26.9483
103,120.0828,26.9483
104,120.1578,26.9483
105,120.2328,26.9483
106,120.3078,26.9483
107,120.3828,26.9483
108,120.4578,26.9483
109,120.5328,26.9483
110,120.6078,26.9483
111,120.6828,26.9483
112,120.7578,26.9483
113,120.8328,26.9483
114,120.9078,26.9483
115,120.9828,26.9483
116,121.0578,26.9483
117,121.1328,26.9483
118,121.2078,26.9483
119,121.2828,26.9483
120,121.3578,26.9483
121,121.4328,26.9483
122,121.5078,26.9483
123,121.5828,26.9483
124,121.6578,26.9483
125,121.7328,26.9483
